ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
CL00014320,Jun,1,Sunday,Mazda,Urban,Tuesday,Jun,2,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7258,13,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Liability
CL00004740,Apr,2,Friday,Toyota,Urban,Friday,Apr,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9555,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00008349,Mar,2,Thursday,Pontiac,Urban,Tuesday,Mar,5,Female,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,10699,10,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,Internal,1 to 2,no change,1 vehicle,1995,Collision
CL00005945,May,5,Saturday,Pontiac,Urban,Wednesday,Jun,1,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,7599,11,400,1,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00005785,Aug,5,Thursday,Mazda,Urban,Wednesday,Sep,1,Male,Married,78,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9395,1,400,1,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00008299,Jun,4,Thursday,Pontiac,Urban,Thursday,Jun,4,Male,Married,64,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5527,13,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00013042,Feb,1,Friday,Pontiac,Urban,Friday,Feb,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,10175,13,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
CL00005620,Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5807,12,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00004201,May,2,Tuesday,Mazda,Urban,Thursday,Dec,2,Male,Single,34,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12886,11,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00007039,Apr,3,Friday,Pontiac,Urban,Wednesday,Apr,4,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2868,8,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00013348,Jul,4,Monday,Toyota,Urban,Monday,Jul,4,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14414,11,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00001814,Sep,3,Saturday,Honda,Urban,Wednesday,Sep,4,Male,Single,24,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,817,5,400,1,more than 30,more than 30,1,3 years,26 to 30,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
CL00007921,Jun,5,Thursday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13213,1,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00002131,Aug,3,Sunday,Saturn,Urban,Wednesday,Sep,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11555,13,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00011765,Aug,5,Monday,Chevrolet,Urban,Friday,Sep,1,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,14776,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00006621,Nov,5,Monday,Honda,Urban,Wednesday,Nov,5,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11683,16,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00002973,Apr,3,Wednesday,Mazda,Urban,Thursday,Apr,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10807,12,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00004187,Feb,5,Monday,Pontiac,Urban,Monday,Mar,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,10777,5,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00006663,Jun,1,Friday,Ford,Urban,Tuesday,Jun,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2725,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability
CL00000421,Jan,5,Saturday,Honda,Urban,Monday,Feb,2,Male,Married,46,Third Party,Sedan - Collision,Sedan,more than 69000,0,14503,4,400,1,more than 30,more than 30,2 to 4,new,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
CL00015373,Feb,1,Monday,Mazda,Urban,Monday,Feb,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9923,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,1995,All Perils
CL00006129,Jan,1,Thursday,Mazda,Urban,Friday,Jan,2,Male,Married,45,Third Party,Sport - Collision,Sport,more than 69000,0,1948,10,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00013376,Jul,2,Monday,Ford,Urban,Monday,Jul,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,13988,14,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00009389,Sep,2,Wednesday,Pontiac,Urban,Friday,Sep,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13604,9,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00009160,Aug,1,Friday,Toyota,Urban,Monday,Aug,2,Male,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,951,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
CL00010128,Nov,4,Monday,Pontiac,Urban,Tuesday,Nov,4,Male,Married,73,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12518,11,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Collision
CL00006628,Feb,1,Sunday,Chevrolet,Urban,Friday,Feb,2,Male,Married,44,Third Party,Sedan - Collision,Sedan,more than 69000,0,14301,7,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
CL00000838,Nov,4,Sunday,Toyota,Rural,Monday,Nov,4,Male,Single,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2367,1,400,4,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,1 year,1 vehicle,1994,Liability
CL00007864,Feb,4,Friday,Honda,Rural,Friday,Feb,4,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9820,2,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00000980,Mar,3,Monday,Mazda,Urban,Tuesday,Mar,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,10904,13,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
CL00006401,Oct,3,Thursday,Honda,Urban,Friday,Oct,4,Male,Single,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,15011,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00007734,Aug,1,Friday,Toyota,Rural,Wednesday,Aug,4,Male,Single,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,15124,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00006068,May,4,Sunday,Pontiac,Urban,Wednesday,Jun,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3194,10,700,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
CL00010931,May,1,Thursday,Chevrolet,Urban,Monday,May,2,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6918,16,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00007483,Oct,2,Wednesday,Toyota,Urban,Thursday,Oct,2,Female,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2860,3,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
CL00009559,Dec,4,Saturday,Mazda,Urban,Tuesday,Dec,4,Male,Married,56,Third Party,Sedan - Liability,Sport,30000 to 39000,0,6666,2,700,1,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability
CL00011741,Jun,2,Sunday,Toyota,Urban,Monday,Jun,2,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4477,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00010728,Oct,5,Saturday,Honda,Urban,Saturday,Nov,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11253,15,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
CL00003827,Sep,2,Sunday,Pontiac,Urban,Monday,Sep,4,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3185,15,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
CL00004806,Nov,3,Friday,Pontiac,Urban,Monday,Nov,4,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11784,1,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
CL00013931,Feb,3,Sunday,Honda,Urban,Tuesday,Feb,4,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7103,15,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
CL00008306,Aug,1,Wednesday,Toyota,Urban,Friday,Aug,1,Male,Single,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2331,5,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00004190,Mar,1,Saturday,Honda,Urban,Wednesday,Mar,2,Female,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1746,3,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
CL00006584,Feb,4,Thursday,Toyota,Urban,Friday,Feb,4,Male,Married,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1292,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00007885,May,4,Wednesday,Toyota,Urban,Wednesday,May,4,Female,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1597,3,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
CL00004088,Jul,1,Friday,Pontiac,Urban,Wednesday,Jul,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13183,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00007346,Nov,4,Wednesday,Toyota,Urban,Monday,Nov,5,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8313,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
CL00013453,Dec,2,Sunday,Toyota,Urban,Monday,Dec,2,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11330,12,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
CL00003697,May,5,Monday,Toyota,Urban,Monday,May,5,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4575,11,400,4,more than 30,more than 30,none,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00015034,Jan,2,Thursday,Mazda,Urban,Thursday,Jan,2,Male,Married,30,Third Party,Sport - Collision,Sport,more than 69000,0,11732,13,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00013919,Dec,2,Sunday,Chevrolet,Urban,Wednesday,Dec,2,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2973,8,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00008163,Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,144,8,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
CL00005356,Sep,3,Thursday,Mazda,Urban,Monday,Sep,3,Male,Married,45,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9877,4,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00007306,Jan,2,Monday,Pontiac,Urban,Monday,Jan,2,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5112,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
CL00000437,May,4,Tuesday,Mazda,Urban,Tuesday,May,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4692,5,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
CL00010419,Jan,2,Saturday,Toyota,Urban,Thursday,Jan,2,Female,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3666,13,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00008596,Jul,1,Tuesday,Pontiac,Urban,Monday,Jul,3,Female,Single,26,Policy Holder,Sedan - Liability,Sport,less than 20000,0,4024,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
CL00006697,May,4,Monday,Mazda,Urban,Wednesday,May,4,Male,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15318,13,400,2,15 to 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
CL00010824,May,4,Monday,Pontiac,Urban,Wednesday,May,4,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2694,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
CL00015233,Feb,4,Friday,Honda,Urban,Monday,Mar,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1556,10,400,2,more than 30,more than 30,none,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1994,All Perils
CL00001502,Mar,4,Sunday,Pontiac,Urban,Monday,Apr,1,Male,Married,56,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8902,6,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00000026,Jun,5,Thursday,Toyota,Urban,Monday,Jul,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7347,16,400,2,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability
CL00002007,Sep,1,Monday,Honda,Urban,Monday,Sep,1,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2490,15,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00006977,Dec,2,Friday,Chevrolet,Urban,Thursday,Apr,3,Male,Married,36,Third Party,Sedan - All Perils,Sedan,more than 69000,0,83,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,All Perils
CL00004978,Jan,4,Wednesday,Ford,Urban,Thursday,Mar,3,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12580,7,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,All Perils
CL00011789,Apr,1,Wednesday,Honda,Urban,Tuesday,Apr,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,2642,2,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00014496,Sep,5,Saturday,Toyota,Urban,Monday,Oct,1,Female,Married,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1574,13,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00000204,Sep,2,Wednesday,Pontiac,Urban,Friday,Oct,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9773,8,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00012614,Dec,1,Tuesday,Chevrolet,Urban,Thursday,Dec,2,Female,Single,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4490,8,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
CL00011689,Feb,2,Friday,Toyota,Urban,Saturday,Feb,2,Female,Single,35,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1666,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00002039,Sep,2,Tuesday,Honda,Urban,Thursday,Sep,4,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4604,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00012579,Jun,5,Wednesday,Mazda,Urban,Friday,Jul,1,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6247,13,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00010915,Sep,5,Wednesday,Toyota,Urban,Monday,Oct,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9798,14,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00005757,Aug,3,Tuesday,Pontiac,Urban,Monday,Aug,4,Male,Married,29,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6114,14,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00005562,Aug,5,Thursday,Toyota,Urban,Tuesday,Sep,1,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,less than 20000,1,14342,16,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00008911,Feb,4,Wednesday,Pontiac,Urban,Friday,Feb,4,Male,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10279,15,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
CL00012653,Mar,4,Sunday,Chevrolet,Rural,Monday,Mar,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14238,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
CL00014673,May,2,Tuesday,Honda,Urban,Wednesday,May,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9349,9,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Liability
CL00011460,Sep,4,Tuesday,Dodge,Urban,Monday,Oct,2,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,4981,8,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,3 to 5,no change,1 vehicle,1994,Collision
CL00012250,May,5,Friday,Chevrolet,Urban,Wednesday,Jan,1,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9966,1,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision
CL00012832,Aug,4,Monday,Honda,Urban,Monday,Aug,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7976,11,400,1,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
CL00006653,Nov,1,Friday,Mazda,Urban,Tuesday,Nov,3,Female,Single,22,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5860,12,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,All Perils
CL00001363,Mar,2,Monday,Honda,Urban,Monday,Mar,2,Female,Divorced,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13757,16,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
CL00005969,Apr,3,Saturday,Saturn,Urban,Friday,Apr,4,Female,Married,54,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,5239,9,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00006208,Sep,1,Sunday,Mazda,Urban,Monday,Sep,1,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,14391,3,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
CL00009265,Apr,4,Tuesday,Honda,Urban,Thursday,Apr,4,Male,Single,22,Policy Holder,Sport - Collision,Sport,more than 69000,0,10606,3,400,3,more than 30,more than 30,1,4 years,26 to 30,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Collision
CL00003885,Aug,1,Saturday,Toyota,Urban,Wednesday,Oct,3,Male,Married,78,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8460,3,400,1,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
CL00010180,Feb,4,Monday,Toyota,Urban,Wednesday,Feb,4,Male,Married,66,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1452,7,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00009043,Oct,4,Friday,Honda,Urban,Tuesday,Oct,4,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6630,16,400,4,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00013319,Jan,1,Tuesday,Chevrolet,Urban,Tuesday,Feb,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10629,11,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00002742,Aug,4,Tuesday,Toyota,Urban,Monday,Aug,5,Female,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,336,14,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00008816,May,4,Friday,Pontiac,Urban,Wednesday,May,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12484,15,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00010900,Aug,2,Monday,Toyota,Urban,Wednesday,Aug,2,Male,Single,22,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9436,5,300,3,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability
CL00011561,Aug,4,Sunday,Honda,Urban,Tuesday,Aug,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9704,15,700,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00001252,Mar,4,Sunday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,4446,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00004520,Dec,2,Tuesday,Honda,Urban,Wednesday,Jan,2,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,0,116,2,400,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00002140,Oct,2,Tuesday,Honda,Urban,Monday,Oct,3,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6632,12,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00002509,May,2,Tuesday,Honda,Urban,Tuesday,May,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8320,7,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
CL00014101,Sep,5,Saturday,Pontiac,Urban,Tuesday,Oct,1,Female,Married,54,Third Party,Sedan - All Perils,Sedan,less than 20000,0,11914,1,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
CL00006968,Jun,3,Wednesday,Toyota,Urban,Monday,Jun,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5798,13,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
CL00002205,Apr,2,Friday,Mazda,Urban,Friday,Apr,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11377,5,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
